--- 真实样本与生成样本详细统计结果 ---


===== 真实样本统计总结 =====
统计量       总孔隙率      连通孔隙率     总孔隙数      连通孔隙数     喉道数量      
----------------------------------------------------------------------------------------------------
平均值       22.79%       22.75%       649.12       635.08       1243.81      
最大值       26.26%       26.25%       740.00       729.00       1466.00      
3/4分位数    23.74%       23.71%       675.00       661.00       1302.50      
1/4分位数    21.89%       21.86%       625.75       612.00       1187.75      
最小值       19.13%       19.06%       540.00       525.00       920.00       

===== 生成样本统计总结 =====
统计量       总孔隙率      连通孔隙率     总孔隙数      连通孔隙数     喉道数量      
----------------------------------------------------------------------------------------------------
平均值       23.14%       23.09%       665.11       643.20       1241.79      
最大值       26.67%       26.63%       774.00       753.00       1475.00      
3/4分位数    23.98%       23.92%       691.25       668.00       1303.00      
1/4分位数    22.44%       22.39%       639.75       617.00       1188.00      
最小值       18.69%       18.61%       526.00       513.00       950.00       

===== 生成样本单项评价 =====
样本名称           偏差值数量       异常值数量       
--------------------------------------------------
volume_000261.raw   5              0           
volume_000263.raw   3              2           
volume_000042.raw   5              0           
volume_000241.raw   3              0           
volume_000010.raw   3              0           
volume_000209.raw   5              0           
volume_000089.raw   2              0           
volume_000172.raw   5              1           
volume_000135.raw   5              0           
volume_000249.raw   0              0           
volume_000081.raw   5              0           
volume_000035.raw   1              0           
volume_000090.raw   5              0           
volume_000016.raw   0              0           
volume_000245.raw   2              0           
volume_000092.raw   2              0           
volume_000077.raw   0              0           
volume_000119.raw   3              0           
volume_000219.raw   3              0           
volume_000098.raw   2              0           
volume_000087.raw   3              0           
volume_000110.raw   4              0           
volume_000116.raw   0              0           
volume_000174.raw   3              0           
volume_000122.raw   1              0           
volume_000037.raw   0              0           
volume_000133.raw   3              0           
volume_000161.raw   3              0           
volume_000067.raw   2              0           
volume_000226.raw   1              0           
volume_000196.raw   0              0           
volume_000298.raw   2              0           
volume_000136.raw   5              0           
volume_000114.raw   1              0           
volume_000034.raw   2              0           
volume_000198.raw   2              0           
volume_000076.raw   2              0           
volume_000253.raw   0              0           
volume_000123.raw   5              0           
volume_000128.raw   0              0           
volume_000150.raw   3              0           
volume_000088.raw   5              0           
volume_000157.raw   3              0           
volume_000192.raw   0              0           
volume_000028.raw   1              0           
volume_000000.raw   3              0           
volume_000043.raw   3              0           
volume_000275.raw   3              0           
volume_000062.raw   5              0           
volume_000004.raw   5              0           
volume_000032.raw   0              0           
volume_000179.raw   5              0           
volume_000180.raw   5              0           
volume_000235.raw   2              0           
volume_000296.raw   3              0           
volume_000162.raw   2              0           
volume_000246.raw   1              0           
volume_000201.raw   0              0           
volume_000270.raw   3              0           
volume_000158.raw   2              0           
volume_000060.raw   3              0           
volume_000069.raw   0              0           
volume_000044.raw   2              0           
volume_000234.raw   2              0           
volume_000023.raw   0              0           
volume_000189.raw   0              0           
volume_000050.raw   2              0           
volume_000102.raw   1              0           
volume_000177.raw   0              0           
volume_000225.raw   1              0           
volume_000220.raw   2              0           
volume_000264.raw   3              0           
volume_000072.raw   0              0           
volume_000273.raw   3              0           
volume_000049.raw   2              0           
volume_000024.raw   2              0           
volume_000278.raw   1              0           
volume_000012.raw   0              0           
volume_000215.raw   2              0           
volume_000259.raw   0              0           
volume_000104.raw   3              0           
volume_000260.raw   4              0           
volume_000065.raw   3              0           
volume_000083.raw   0              0           
volume_000186.raw   0              0           
volume_000109.raw   3              0           
volume_000159.raw   4              0           
volume_000237.raw   2              0           
volume_000029.raw   3              0           
volume_000254.raw   4              0           
volume_000097.raw   1              0           
volume_000175.raw   3              0           
volume_000295.raw   2              0           
volume_000216.raw   2              0           
volume_000148.raw   0              0           
volume_000231.raw   2              0           
volume_000251.raw   0              0           
volume_000195.raw   2              0           
volume_000285.raw   1              0           
volume_000040.raw   1              0           
volume_000252.raw   4              0           
volume_000070.raw   1              0           
volume_000038.raw   2              0           
volume_000221.raw   2              0           
volume_000005.raw   5              0           
volume_000095.raw   0              0           
volume_000126.raw   3              0           
volume_000001.raw   3              0           
volume_000115.raw   4              0           
volume_000047.raw   3              0           
volume_000244.raw   2              0           
volume_000142.raw   1              0           
volume_000051.raw   0              0           
volume_000107.raw   0              0           
volume_000140.raw   0              0           
volume_000061.raw   3              0           
volume_000156.raw   4              0           
volume_000118.raw   3              0           
volume_000101.raw   0              0           
volume_000299.raw   0              0           
volume_000145.raw   3              0           
volume_000169.raw   5              0           
volume_000074.raw   4              0           
volume_000117.raw   0              0           
volume_000187.raw   5              0           
volume_000184.raw   0              0           
volume_000272.raw   3              0           
volume_000166.raw   3              0           
volume_000013.raw   0              0           
volume_000284.raw   4              0           
volume_000181.raw   0              0           
volume_000146.raw   4              0           
volume_000085.raw   2              0           
volume_000006.raw   4              0           
volume_000008.raw   4              0           
volume_000002.raw   3              0           
volume_000096.raw   4              0           
volume_000276.raw   5              0           
volume_000124.raw   4              0           
volume_000120.raw   4              0           
volume_000068.raw   3              0           
volume_000137.raw   2              0           
volume_000248.raw   2              0           
volume_000257.raw   2              0           
volume_000281.raw   3              0           
volume_000141.raw   4              0           
volume_000052.raw   2              0           
volume_000121.raw   1              0           
volume_000030.raw   1              0           
volume_000230.raw   4              0           
volume_000271.raw   0              0           
volume_000290.raw   5              0           
volume_000178.raw   2              0           
volume_000211.raw   4              0           
volume_000185.raw   5              0           
volume_000014.raw   2              0           
volume_000093.raw   3              0           
volume_000084.raw   3              0           
volume_000223.raw   5              0           
volume_000218.raw   2              0           
volume_000143.raw   3              0           
volume_000236.raw   5              0           
volume_000292.raw   5              0           
volume_000139.raw   2              0           
volume_000238.raw   5              0           
volume_000289.raw   5              2           
volume_000274.raw   3              0           
volume_000039.raw   5              0           
volume_000294.raw   5              0           
volume_000227.raw   5              0           
volume_000206.raw   3              0           
volume_000182.raw   3              1           
volume_000015.raw   3              0           
volume_000250.raw   2              0           
volume_000103.raw   5              3           
volume_000167.raw   3              0           
volume_000105.raw   4              0           
volume_000151.raw   2              0           
volume_000242.raw   0              0           
volume_000256.raw   5              2           
volume_000280.raw   3              0           
volume_000027.raw   2              0           
volume_000229.raw   2              0           
volume_000168.raw   0              0           
volume_000183.raw   5              0           
volume_000222.raw   2              0           
volume_000176.raw   2              0           
volume_000106.raw   3              0           
volume_000207.raw   3              0           
volume_000078.raw   2              0           
volume_000194.raw   3              0           
volume_000202.raw   3              0           
volume_000071.raw   2              0           
volume_000048.raw   2              0           
volume_000210.raw   3              0           
volume_000287.raw   3              0           
volume_000165.raw   4              0           
volume_000094.raw   3              0           
volume_000266.raw   0              0           
volume_000108.raw   4              0           
volume_000009.raw   3              0           
volume_000262.raw   0              0           
volume_000191.raw   0              0           
volume_000138.raw   3              0           
volume_000240.raw   2              0           
volume_000204.raw   4              0           
volume_000011.raw   4              0           
volume_000019.raw   2              0           
volume_000131.raw   1              0           
volume_000100.raw   4              0           
volume_000058.raw   2              0           
volume_000205.raw   0              0           
volume_000033.raw   5              0           
volume_000291.raw   5              0           
volume_000163.raw   2              0           
volume_000053.raw   3              0           
volume_000003.raw   3              0           
volume_000132.raw   3              0           
volume_000243.raw   0              0           
volume_000007.raw   3              0           
volume_000018.raw   0              0           
volume_000057.raw   5              0           
volume_000112.raw   0              0           
volume_000129.raw   1              0           
volume_000286.raw   0              0           
volume_000224.raw   0              0           
volume_000046.raw   3              0           
volume_000091.raw   2              0           
volume_000283.raw   4              0           
volume_000197.raw   4              0           
volume_000239.raw   5              0           
volume_000055.raw   3              0           
volume_000130.raw   5              0           
volume_000063.raw   2              0           
volume_000212.raw   2              0           
volume_000217.raw   1              0           
volume_000214.raw   0              0           
volume_000297.raw   5              0           
volume_000152.raw   3              0           
volume_000079.raw   5              0           
volume_000021.raw   1              0           
volume_000026.raw   1              0           
volume_000086.raw   5              0           
volume_000113.raw   4              0           
volume_000147.raw   0              0           
volume_000171.raw   5              0           
volume_000064.raw   0              0           
volume_000045.raw   0              0           
volume_000149.raw   3              0           
volume_000267.raw   3              0           
volume_000125.raw   0              0           
volume_000059.raw   3              0           
volume_000258.raw   1              0           
volume_000099.raw   1              0           
volume_000127.raw   0              0           
volume_000200.raw   2              0           
volume_000144.raw   3              0           
volume_000075.raw   2              0           
volume_000160.raw   5              0           
volume_000293.raw   3              0           
volume_000155.raw   5              0           
volume_000017.raw   3              0           
volume_000199.raw   3              0           
volume_000041.raw   3              0           
volume_000073.raw   3              0           
volume_000022.raw   2              0           
volume_000203.raw   0              0           
volume_000213.raw   3              2           
volume_000193.raw   3              0           
volume_000025.raw   0              0           
volume_000188.raw   3              0           
volume_000247.raw   1              0           
volume_000134.raw   3              0           
volume_000082.raw   0              0           
volume_000228.raw   3              0           
volume_000020.raw   1              0           
volume_000190.raw   3              0           
volume_000111.raw   0              0           
volume_000255.raw   5              0           
volume_000154.raw   1              0           
volume_000031.raw   0              0           
volume_000265.raw   2              0           
volume_000054.raw   3              0           
volume_000164.raw   3              0           
volume_000173.raw   0              0           
volume_000282.raw   1              0           
volume_000279.raw   5              0           
volume_000036.raw   0              0           
volume_000056.raw   2              0           
volume_000066.raw   5              0           
volume_000153.raw   1              0           
volume_000233.raw   3              0           
volume_000277.raw   5              0           
volume_000268.raw   5              0           
volume_000288.raw   3              0           
volume_000080.raw   2              0           
volume_000269.raw   5              0           
volume_000170.raw   3              0           
volume_000208.raw   5              0           
volume_000232.raw   3              0           

--------------------------------------------------
总计                740 / 1500       13          
总孔隙率总计    偏差值  131       异常值  2
连通孔隙率总计   偏差值  132       异常值  2
总孔隙数总计    偏差值  172       异常值  4
连通孔隙数总计   偏差值  155       异常值  4
喉道数量总计    偏差值  150       异常值  1

--- 真实样本与生成样本对比结果（平均值） ---
指标              真实样本         生成样本        绝对误差        相对误差      
---------------------------------------------------------------------------
总孔隙率           22.79%         23.14%         0.36%          1.56%          
连通孔隙率          22.75%         23.09%         0.33%          1.47%          
总孔隙数           649.12         665.11         15.99          2.46%          
连通孔隙数          635.08         643.20         8.12           1.28%          
喉道数量           1243.81        1241.79        2.01           0.16%          
