--- 真实样本与生成样本详细统计结果 ---


===== 真实样本统计总结 =====
统计量       总孔隙率      连通孔隙率     总孔隙数      连通孔隙数     喉道数量      
----------------------------------------------------------------------------------------------------
平均值       22.00%       21.85%       279.99       244.95       391.12       
最大值       28.12%       27.91%       354.00       305.00       523.00       
3/4分位数    23.62%       23.48%       298.00       261.00       429.00       
1/4分位数    20.49%       20.33%       259.00       229.00       358.00       
最小值       14.28%       13.92%       201.00       165.00       226.00       

===== 生成样本统计总结 =====
统计量       总孔隙率      连通孔隙率     总孔隙数      连通孔隙数     喉道数量      
----------------------------------------------------------------------------------------------------
平均值       22.08%       22.00%       252.53       236.52       389.15       
最大值       29.69%       29.57%       317.00       288.00       493.00       
3/4分位数    23.20%       23.12%       265.00       249.00       414.00       
1/4分位数    20.84%       20.75%       238.00       222.00       365.00       
最小值       15.45%       15.18%       197.00       170.00       254.00       

===== 生成样本单项评价 =====
样本名称           偏差值数量       异常值数量       
--------------------------------------------------
volume_000001.raw   5              0           
volume_000114.raw   3              0           
volume_000195.raw   1              0           
volume_000052.raw   3              0           
volume_000123.raw   5              0           
volume_000298.raw   0              0           
volume_000225.raw   2              0           
volume_000000.raw   2              0           
volume_000261.raw   4              0           
volume_000024.raw   4              0           
volume_000220.raw   3              0           
volume_000143.raw   0              0           
volume_000140.raw   4              0           
volume_000156.raw   5              0           
volume_000168.raw   4              0           
volume_000264.raw   2              0           
volume_000116.raw   3              0           
volume_000077.raw   3              0           
volume_000034.raw   5              0           
volume_000244.raw   3              0           
volume_000229.raw   1              0           
volume_000201.raw   2              0           
volume_000238.raw   0              0           
volume_000234.raw   2              0           
volume_000084.raw   4              0           
volume_000192.raw   1              0           
volume_000068.raw   3              0           
volume_000104.raw   2              0           
volume_000278.raw   3              0           
volume_000089.raw   4              0           
volume_000186.raw   1              0           
volume_000249.raw   0              0           
volume_000174.raw   4              0           
volume_000085.raw   2              0           
volume_000027.raw   5              0           
volume_000251.raw   1              0           
volume_000289.raw   0              0           
volume_000184.raw   2              0           
volume_000118.raw   1              0           
volume_000062.raw   3              1           
volume_000275.raw   1              0           
volume_000159.raw   2              0           
volume_000169.raw   4              0           
volume_000194.raw   3              0           
volume_000119.raw   5              2           
volume_000180.raw   3              0           
volume_000133.raw   3              0           
volume_000253.raw   1              0           
volume_000107.raw   2              0           
volume_000030.raw   3              0           
volume_000176.raw   4              0           
volume_000162.raw   2              0           
volume_000069.raw   2              0           
volume_000090.raw   4              0           
volume_000222.raw   4              0           
volume_000285.raw   4              0           
volume_000142.raw   1              0           
volume_000242.raw   3              0           
volume_000281.raw   1              0           
volume_000115.raw   4              0           
volume_000211.raw   0              0           
volume_000196.raw   0              0           
volume_000150.raw   2              0           
volume_000219.raw   1              0           
volume_000101.raw   5              0           
volume_000124.raw   2              0           
volume_000135.raw   4              0           
volume_000146.raw   3              0           
volume_000141.raw   0              0           
volume_000178.raw   2              0           
volume_000185.raw   3              0           
volume_000206.raw   5              0           
volume_000087.raw   5              0           
volume_000015.raw   4              0           
volume_000294.raw   0              0           
volume_000013.raw   1              0           
volume_000245.raw   1              0           
volume_000254.raw   1              0           
volume_000231.raw   5              1           
volume_000274.raw   3              0           
volume_000221.raw   5              0           
volume_000290.raw   0              0           
volume_000148.raw   4              0           
volume_000096.raw   5              0           
volume_000230.raw   5              0           
volume_000076.raw   1              0           
volume_000256.raw   3              0           
volume_000227.raw   5              0           
volume_000276.raw   2              0           
volume_000122.raw   0              0           
volume_000008.raw   1              0           
volume_000151.raw   1              0           
volume_000216.raw   2              0           
volume_000215.raw   0              0           
volume_000081.raw   1              0           
volume_000246.raw   1              0           
volume_000023.raw   1              0           
volume_000145.raw   2              0           
volume_000016.raw   3              0           
volume_000273.raw   1              0           
volume_000010.raw   1              0           
volume_000004.raw   1              0           
volume_000284.raw   4              0           
volume_000223.raw   4              0           
volume_000040.raw   4              0           
volume_000097.raw   3              0           
volume_000207.raw   0              0           
volume_000292.raw   1              0           
volume_000092.raw   3              0           
volume_000105.raw   1              0           
volume_000078.raw   2              0           
volume_000074.raw   2              0           
volume_000050.raw   1              0           
volume_000189.raw   3              0           
volume_000106.raw   3              0           
volume_000049.raw   1              0           
volume_000209.raw   2              0           
volume_000095.raw   0              0           
volume_000179.raw   5              0           
volume_000157.raw   0              0           
volume_000005.raw   4              0           
volume_000161.raw   1              0           
volume_000139.raw   5              0           
volume_000272.raw   3              0           
volume_000120.raw   4              0           
volume_000259.raw   2              0           
volume_000235.raw   5              0           
volume_000102.raw   0              0           
volume_000270.raw   2              0           
volume_000051.raw   1              0           
volume_000126.raw   1              0           
volume_000032.raw   1              0           
